"Rank","Player","Yds","Year","Tm","Player-additional
,,,,,-9999"
1,Calvin Johnson+ (26),1964,2012,DET,JohnCa00
2,Cooper Kupp (28),1947,2021,LAR,KuppCo00
3,Julio Jones (26),1871,2015,ATL,JoneJu02
4,Jerry Rice+ (32),1848,1995,SFO,RiceJe00
5,Antonio Brown (27),1834,2015,PIT,BrowAn04
6,Justin Jefferson (23),1809,2022,MIN,JeffJu00
7,Isaac Bruce+ (22),1781,1995,STL,BrucIs00
8,Charley Hennigan (26),1746,1961,HOU,HennCh00
9,Michael Thomas (26),1725,2019,NOR,ThomMi05
10,Marvin Harrison+ (30),1722,2002,IND,HarrMa00
11,Tyreek Hill (28),1710,2022,MIA,HillTy00
12,Antonio Brown (26),1698,2014,PIT,BrowAn04
13,Torry Holt (27),1696,2003,STL,HoltTo00
14,Herman Moore (25),1686,1995,DET,MoorHe00
15,Calvin Johnson+ (25),1681,2011,DET,JohnCa00
16,Julio Jones (29),1677,2018,ATL,JoneJu02
17,Marvin Harrison+ (27),1663,1999,IND,HarrMa00
18,Josh Gordon (22),1646,2013,CLE,GordJo02
19,Jimmy Smith (30),1636,1999,JAX,SmitJi00
20,Torry Holt (24),1635,2000,STL,HoltTo00
21,Randy Moss+ (26),1632,2003,MIN,MossRa00
22,Demaryius Thomas (26),1619,2014,DEN,ThomDe03
23,Justin Jefferson (22),1616,2021,MIN,JeffJu00
24,Michael Irvin+ (29),1603,1995,DAL,IrviMi00
25,Lance Alworth+ (25),1602,1965,SDG,AlwoLa00
,Rod Smith (30),1602,2000,DEN,SmitRo01
27,David Boston (23),1598,2001,ARI,BostDa00
,Andre Johnson (31),1598,2012,HOU,JohnAn02
29,Julio Jones (25),1593,2014,ATL,JoneJu02
30,Rob Moore (28),1584,1997,ARI,MoorRo00
31,Andre Johnson (27),1575,2008,HOU,JohnAn02
32,DeAndre Hopkins (26),1572,2018,HOU,HopkDe00
33,Jerry Rice+ (23),1570,1986,SFO,RiceJe00
34,Andre Johnson (28),1569,2009,HOU,JohnAn02
,Wes Welker (30),1569,2011,NWE,WelkWe00
36,Steve Smith Sr. (26),1563,2005,CAR,SmitSt01
37,Roy Green (27),1555,1984,STL,GreeRo01
38,Davante Adams (28),1553,2021,GNB,AdamDa01
39,Charley Hennigan (29),1546,1964,HOU,HennCh00
40,Victor Cruz (24),1536,2011,NYG,CruzVi00
41,Stefon Diggs (26),1535,2020,BUF,DiggSt00
42,Antonio Brown (29),1533,2017,PIT,BrowAn04
43,Mike Evans (25),1524,2018,TAM,EvanMi00
,Marvin Harrison+ (29),1524,2001,IND,HarrMa00
45,Michael Irvin+ (25),1523,1991,DAL,IrviMi00
46,DeAndre Hopkins (23),1521,2015,HOU,HopkDe00
47,Jordy Nelson (29),1519,2014,GNB,NelsJo00
48,Davante Adams (29),1516,2022,LVR,AdamDa01
49,Reggie Wayne (28),1510,2007,IND,WaynRe00
50,Brandon Marshall (28),1508,2012,CHI,MarsBr00
51,Jerry Rice+ (30),1503,1993,SFO,RiceJe00
52,Brandon Marshall (31),1502,2015,NYJ,MarsBr00
,Jerry Rice+ (27),1502,1990,SFO,RiceJe00
54,Antonio Brown (25),1499,2013,PIT,BrowAn04
,Jerry Rice+ (31),1499,1994,SFO,RiceJe00
56,Robert Brooks (25),1497,1995,GNB,BrooRo00
